Date,cc_gross,co_gross,oc_gross,oc_net2bp
2022-11-15,2.5714668509638807,1.7550361709869307,1.4657433287740975,1.031323831192335
2022-11-16,2.571599864554521,1.7518224669077902,1.4684980020271687,1.0328495401749305
2022-11-17,2.589683246661332,1.7574099279407873,1.4741118841106582,1.0363848534861537
2022-11-18,2.579924108543288,1.759258503410532,1.4669508932580213,1.030935713950801
2022-11-21,2.5739380625185255,1.7613323798881033,1.46183190885256,1.0269258478425554
2022-11-22,2.5812695788360744,1.758717115721004,1.4680926138914778,1.0309131753909035
2022-11-24,2.5800549830531057,1.759311447284457,1.4669192100252004,1.029676831105831
2022-11-25,2.5785924552871506,1.7615389979032154,1.4642261784281492,1.0273746366105199
2022-11-28,2.5864519523751675,1.7599026740349522,1.4700398919965214,1.0310428802252043
2022-11-29,2.590521695015982,1.7602699982999712,1.4720487262479596,1.0320394005201687
2022-11-30,2.5934148809986044,1.7573900146302774,1.4760410300642974,1.0344255511011156
2022-12-01,2.6027210200190702,1.7597583234369887,1.47935256273262,1.036332538864801
2022-12-02,2.5956323953518847,1.7612122620405049,1.4741393113154928,1.0322659608851579
2022-12-05,2.5960755531823767,1.7597110263410987,1.4756643190523253,1.0329209410734872
2022-12-06,2.5996017702263736,1.7587665950028755,1.4784607446308777,1.0344651870649104
2022-12-07,2.6123921580930003,1.767240695172203,1.478607672241799,1.0341542048684211
2022-12-08,2.6184804991314956,1.7693805633321629,1.4802774042400664,1.0349083718129772
2022-12-09,2.628799548800126,1.7717851145533412,1.4841083544112113,1.037172745911517
2022-12-12,2.6305321747363544,1.772881625410707,1.4841662174869148,1.0367983145648407
2022-12-13,2.630809626624369,1.7694623801957645,1.4872197383608323,1.0385167022038981
2022-12-14,2.6392401988658265,1.7727390704831179,1.489227700374473,1.0395034434603854
2022-12-15,2.6465513064482704,1.7769873948681774,1.4897831149354264,1.039475329841236
2022-12-16,2.6524116944678253,1.7812239510256418,1.489538269307135,1.0388887020969808
2022-12-19,2.65566450728721,1.7828871114039282,1.489958647983522,1.038766342612848
2022-12-20,2.6775415775075246,1.7842942588949062,1.5010764140543666,1.0461018976338308
2022-12-21,2.6613026191029885,1.7863673809998257,1.490182797466231,1.038091682813013
2022-12-22,2.6489971058154906,1.784327141588331,1.4850233625009936,1.0340822786763157
2022-12-23,2.6660879308183074,1.7919163806169147,1.4882718454563615,1.0359306968150526
2022-12-26,2.68076468181547,1.7934120069345425,1.4952304495261055,1.0403599501043554
2022-12-27,2.666523246357688,1.794064211941987,1.4868243106353345,1.0340949349755588
2022-12-28,2.675384535805994,1.7956581904596751,1.490441144948416,1.0361968262520995
2022-12-29,2.6720891413256673,1.7990551935993433,1.4857844874674255,1.0325449075736346
2022-12-30,2.673029440930707,1.8061246215296392,1.480526569615479,1.028477903216036
2023-01-04,2.690684098632375,1.8090450019179631,1.4879153357207846,1.0331992687558416
2023-01-05,2.702674610517897,1.813108580788537,1.4911971224977354,1.0350648416260066
2023-01-06,2.699165472897003,1.8118290596847426,1.4903154554164189,1.0340388358349684
2023-01-10,2.7167662104018637,1.8109076396511599,1.5007114666313426,1.0408383772835652
2023-01-11,2.7267663605661046,1.8119286078135288,1.5053583478504722,1.0436449481442005
2023-01-12,2.7193669499846256,1.8171412914698646,1.4969457679016238,1.0373951602236955
2023-01-13,2.7081468544763085,1.8136772986927165,1.4936496361518001,1.034695956999863
2023-01-16,2.7068319191162478,1.808771778401998,1.4968902641815816,1.036526958968786
2023-01-17,2.7114660534160677,1.8105286745572846,1.497988511186448,1.0368728332089776
2023-01-18,2.7011692247773857,1.8092549228995265,1.493370060307806,1.033261299713322
2023-01-19,2.6953647069989577,1.80890787274875,1.4904413463436672,1.0308216208355292
2023-01-20,2.7109273971635828,1.8123702276282867,1.4961756819109018,1.0343752832665034
2023-01-23,2.7273222375113324,1.8201995675272264,1.4987259574320384,1.0357246562920612
2023-01-24,2.7371719102403547,1.8227698456108359,1.5019820022687695,1.0375605215714312
2023-01-25,2.739782869566244,1.8240811442121028,1.5023257388231006,1.037382948595944
2023-01-26,2.7430573825596376,1.8240023258652953,1.504181932069135,1.0382497302446951
2023-01-27,2.748633870930824,1.8268783618502822,1.5048757365667447,1.038313323442009
2023-01-30,2.750237027180163,1.8294017504282072,1.5036985372737661,1.0370857704445626
2023-01-31,2.760180721327579,1.831407301139571,1.507433950058238,1.0392472127965564
2023-02-01,2.7646965322942156,1.831193296648428,1.5100709541550001,1.0406495034542547
2023-02-02,2.768890888459951,1.8284715703821321,1.514604146744242,1.0433572456105802
2023-02-03,2.7750031076211554,1.8314244858243687,1.5155058313181415,1.0435610413348966
2023-02-06,2.778093910030705,1.8294101375234966,1.5188129536340527,1.04542086583189
2023-02-07,2.7825836361914047,1.8338152064717383,1.517617703495603,1.0441799895730168
2023-02-08,2.772110300013997,1.8332415368296253,1.512396762000279,1.0401701068224025
2023-02-09,2.7767613391717076,1.8377735452825492,1.5111771248752537,1.0389152178363223
2023-02-10,2.776835266178557,1.8336113870760806,1.514620355790813,1.0408668295854684
2023-02-13,2.7759170164620985,1.8345896228346907,1.5132933035566423,1.0395385152794532
2023-02-14,2.7800774649596316,1.83772806550817,1.512979869658262,1.0389073902512116
2023-02-15,2.7841403573849375,1.843136169592758,1.5107761833769613,1.036978637325204
2023-02-16,2.788380356600247,1.8443976507854538,1.5120369118778263,1.0374291947798269
2023-02-17,2.791130513613475,1.8481284772167608,1.5104574748319006,1.0359305497538054
2023-02-20,2.7986691332338607,1.8498117139965777,1.5131466836755796,1.037360541670104
2023-02-21,2.7904741503446076,1.848958160126044,1.5094184323923165,1.0343896385286255
2023-02-22,2.7998605897112196,1.8538807574198115,1.5105063946687967,1.0347214525441992
2023-02-24,2.8081995170979095,1.8565911338436958,1.512782971376881,1.0358670560424812
2023-02-27,2.820682500418434,1.8586961144593812,1.5177883752378567,1.0388801228411026
2023-02-28,2.8263665004791614,1.8617408925802614,1.5183670822740007,1.0388606782115557
2023-03-01,2.8362982256699896,1.8628738877253617,1.5227943128384758,1.0414742273660331
2023-03-02,2.8427209975530503,1.8658475315626164,1.5238183079310421,1.0417579715868077
2023-03-03,2.8443477839764144,1.8620690802181015,1.527792746033183,1.044058391925259
